,saleprice,overall_qual,gr_liv_area,garage_area,total_bsmt_sf,1st_flr_sf,exter_qual_TA,year_built,year_remod/add,kitchen_qual_TA,full_bath,foundation_PConc,garage_yr_blt,totrms_abvgrd,mas_vnr_area,fireplace_qu_No,fireplaces,bsmtfin_type_1_GLQ,bsmt_qual_TA,neighborhood_NridgHt,exter_qual_Gd,garage_finish_Unf,mas_vnr_type_None,bsmtfin_sf_1,fireplace_qu_Gd,bsmt_exposure_Gd,garage_type_Detchd,sale_type_New,foundation_CBlock,ms_subclass_60,bsmt_exposure_No,heating_qc_TA,exterior_1st_VinylSd,open_porch_sf,wood_deck_sf,mas_vnr_type_Stone,lot_shape_Reg,kitchen_qual_Gd,lot_area,paved_drive_Y,bsmt_full_bath,half_bath,ms_zoning_RM,central_air_Y,garage_cond_TA,roof_style_Hip,neighborhood_NoRidge,mas_vnr_type_BrkFace,neighborhood_StoneBr,electrical_SBrkr,garage_qual_TA,roof_style_Gable,ms_subclass_30,2nd_flr_sf,ms_zoning_RL,garage_type_No
0,130500,6,1479.0,475.0,725.0,725,0,1976,2005,0,2,0,1976.0,6,289.0,1,0,1,1,0,1,0,0,533.0,0,0,0,0,1,1,1,0,0,44,0,0,0,1,13517,1,0.0,1,0,1,1,0,0,1,0,1,1,1,0,754,1,0
1,220000,7,2122.0,559.0,913.0,913,0,1996,1997,0,2,1,1997.0,8,132.0,0,1,1,0,0,1,0,0,637.0,0,0,0,0,0,1,1,0,1,74,0,0,0,1,11492,1,1.0,1,0,1,1,0,0,1,0,1,1,1,0,1209,1,0
2,109000,5,1057.0,246.0,1057.0,1057,1,1953,2007,0,1,0,1953.0,5,0.0,1,0,1,1,0,0,1,1,731.0,0,0,1,0,1,0,1,1,1,52,0,0,1,1,7922,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
3,174000,5,1444.0,400.0,384.0,744,1,2006,2007,1,2,1,2007.0,7,0.0,1,0,0,0,0,0,0,1,0.0,0,0,0,0,0,1,1,0,1,0,100,0,1,0,9802,1,0.0,1,0,1,1,0,0,0,0,1,1,1,0,700,1,0
4,138500,6,1445.0,484.0,676.0,831,1,1900,1993,1,2,1,1957.0,6,0.0,1,0,0,0,0,0,1,1,0.0,0,0,1,0,0,0,1,1,0,59,0,0,0,0,14235,0,0.0,0,0,1,1,0,0,0,0,1,1,1,0,614,1,0
5,190000,6,1888.0,578.0,1517.0,1888,0,1966,2002,0,2,0,1966.0,6,0.0,0,1,0,1,0,1,0,1,247.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,16492,1,0.0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0
6,140000,6,1072.0,525.0,547.0,1072,1,2005,2006,1,2,1,2005.0,5,82.0,1,0,1,0,0,0,0,0,547.0,0,1,0,1,0,0,0,0,1,44,0,0,1,0,3675,1,1.0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0
7,142000,5,1188.0,531.0,1188.0,1188,1,1959,1959,1,1,0,1959.0,6,180.0,1,0,0,1,0,0,0,0,1000.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12160,1,1.0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0
8,112500,5,924.0,420.0,924.0,924,1,1952,1952,1,1,0,1952.0,6,0.0,1,0,0,1,0,0,1,1,292.0,0,0,1,0,1,0,1,1,0,324,0,0,1,0,15783,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
9,135000,5,2080.0,504.0,1040.0,1040,1,1969,1969,0,1,1,1969.0,9,192.0,0,2,0,0,0,0,1,0,650.0,0,0,0,0,0,1,0,1,0,0,335,0,0,0,11606,1,0.0,2,0,1,1,0,0,1,0,1,1,1,0,1040,1,0
10,85400,6,987.0,264.0,483.0,483,1,1971,1971,1,1,0,1971.0,4,232.0,1,0,0,1,0,0,1,0,387.0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1680,1,0.0,1,1,1,1,0,0,1,0,1,1,1,0,504,0,0
11,183600,7,1208.0,632.0,1208.0,1208,0,2005,2005,0,2,1,2005.0,6,0.0,1,0,1,0,0,1,0,1,393.0,0,0,0,0,0,0,0,0,1,58,105,0,0,1,7488,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
12,131000,5,2016.0,576.0,0.0,1288,0,1880,2007,1,1,1,1900.0,7,0.0,0,1,0,0,0,1,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,26400,0,0.0,0,0,1,1,0,0,0,0,1,1,1,0,728,1,0
13,200000,8,1607.0,480.0,960.0,962,0,1999,2000,0,2,1,2000.0,7,456.0,1,0,1,0,0,1,1,0,813.0,0,0,1,0,0,0,1,0,0,0,169,0,1,1,2645,1,1.0,1,0,1,1,0,0,1,0,1,1,1,0,645,0,0
14,193000,7,1361.0,610.0,1351.0,1361,0,2007,2007,0,2,1,2007.0,6,0.0,1,0,1,0,0,1,0,1,24.0,0,0,0,0,0,0,0,0,1,50,0,0,1,1,9627,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
15,173500,5,1430.0,624.0,1430.0,1430,1,2004,2005,0,2,1,2004.0,7,0.0,1,0,0,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,10114,1,0.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
16,98000,5,1344.0,513.0,624.0,624,1,1916,1950,1,1,0,1916.0,7,0.0,1,0,0,1,0,0,1,1,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4571,1,0.0,0,1,0,0,0,0,0,0,1,0,1,0,720,0,0
17,139000,5,1121.0,480.0,1121.0,1121,1,1963,1963,1,1,1,1963.0,5,0.0,1,0,0,1,0,0,1,1,651.0,0,0,1,0,0,0,1,1,1,80,0,0,1,0,8816,1,1.0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
